Check,Category,Description,Xpath (EML),Level
entity.attributeCoverageContentType.present,Findable,Check that a coverage content type exists.,N/A,REQUIRED
entity.attributeDefinition.present,Findable,Check that an attribute definition exists.,/eml/dataset/*/attributeList/attribute/attributeDefinition/text()[normalize-space()],INFO
entity.attributeDefinition.sufficient,Findable,Check that each attribute definition is sufficient (e.g. word count).,/eml/dataset/*/attributeList/attribute/attributeDefinition/text()[normalize-space()],OPTIONAL
entity.attributeDomain.present,Findable,Check that an attribute domain is defined for each relevant attribute.,"/eml/dataset/*/attributeList/attribute//measurementScale/nominal/nonNumericDomain |
/eml/dataset/*/attributeList/attribute//measurementScale/ordinal/nonNumericDomain |
/eml/dataset/*/attributeList/attribute//measurementScale/interval/numericDomain |
/eml/dataset/*/attributeList/attribute//measurementScale/ratio/numericDomain |
/eml/dataset/*/attributeList/attribute//measurementScale/dateTime",REQUIRED
entity.attributeEnumeratedDomains.present,Findable,Check that enumerated domains are defined.,/eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/enumeratedDomain,OPTIONAL
entity.attributeMeasurementScale.present,Findable,Check that an attribute measurement scale exists.,/eml/dataset/*/attributeList/attribute/measurementScale,OPTIONAL
entity.attributeName.differs,Findable,Check that attribute definitions are not simply the attribute name.,"/eml/dataset/*/attributeList/attribute/attributeDefinition/text()[normalize-space()], /eml/dataset/*/attributeList/attribute/attributeDefinition/attributeName/text()[normalize-space()",REQUIRED
entity.attributeNames.unique,Findable,Check that attribute names are unique.,/eml/dataset/*[self::dataTable|self::spatialRaster|self::spatialVector|self::storedProcedure|self::view|self::otherEntity]/attributeList/attribute/attributeName/text()[normalize-space()],REQUIRED
entity.attributePrecision.present,Findable,Check that attributes have a measurement precision defined.,"/eml/dataset/*/attributeList/attribute/measurementScale/interval/precision |
/eml/dataset/*/attributeList/attribute/measurementScale/ratio/precision |
/eml/dataset/*/attributeList/attribute/measurementScale/dateTime/dateTimePrecision",REQUIRED
entity.attributeStorageType.present,Findable,Check that a storage type exits for each attribute.,/eml/dataset/*/attributeList/attribute/storageType,OPTIONAL
